staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
27,1,1.0,48.77733954199721,,48.769835874998535,48.77733954199721,49.26715695799794,49.26715695799794,49.26715695799794,49.56065362499794,49.96402879199741,left,-1.0,1,1,0.6909990419990208,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
28,1,1.0,49.967821541999,,49.964191167000536,49.967821541999,50.46089112499976,50.46089112499976,50.46089112499976,50.75010699999984,51.36457166699984,right,1.0,1,1,0.902256874996965,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
29,1,1.0,51.36866445799751,,51.36473479199776,51.36866445799751,51.8609124579998,51.8609124579998,51.8609124579998,52.15041933300017,52.78755658299997,left,-1.0,1,1,0.9211440419967403,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
30,1,1.0,52.79383224999765,,52.78771991699978,52.79383224999765,53.28380145799747,53.28380145799747,53.28380145799747,53.577631957999984,53.70341041699794,right,1.0,1,1,0.4134207909992256,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
31,1,1.0,53.71032779199959,,53.703576291998615,53.71032779199959,54.20082445799926,54.20082445799926,54.20082445799926,54.49416433299848,54.97092408299795,right,1.0,1,1,0.7644096669973806,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
32,1,1.0,54.97710966699742,,54.9710940829973,54.97710966699742,55.46719070799736,55.46719070799736,55.46719070799736,55.76110854199942,56.097572124999715,left,-1.0,1,1,0.6288790830003563,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
33,1,1.0,56.101403417000256,,56.09774341699813,56.101403417000256,56.59439025000029,56.59439025000029,56.59439025000029,56.883879957997124,57.31451104199732,left,-1.0,1,1,0.714689083997655,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
34,1,1.0,57.32033891699757,,57.31467962500028,57.32033891699757,57.810843832998216,57.810843832998216,57.810843832998216,58.100408624999545,58.447666666997975,left,-1.0,1,1,0.6263577919999079,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
35,1,1.0,58.45356479199836,,58.44783320799979,58.45356479199836,58.94418316699739,58.94418316699739,58.94418316699739,59.233697291998396,59.464641832997586,right,1.0,1,1,0.5159737079993647,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
36,1,1.0,59.47059633299796,,59.46480299999894,59.47059633299796,59.96091924999928,59.96091924999928,59.96091924999928,60.25055204199816,60.63112049999836,right,1.0,1,1,0.665309709002031,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
37,1,1.0,60.63711991699893,,60.63128320800024,60.63711991699893,61.12762366699826,61.12762366699826,61.12762366699826,61.41734858299969,61.987342417000036,right,1.0,1,1,0.8555585840003914,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
38,1,1.0,61.99386808299823,,61.98750591699718,61.99386808299823,62.48433974999716,62.48433974999716,62.48433974999716,62.777886624997336,63.12030374999813,right,1.0,1,1,0.6308601249984349,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
39,0.5,1.0,63.127199499998824,,63.12046662499779,63.127199499998824,63.61765541699788,63.61765541699788,63.61765541699788,63.91117937499803,64.098006041997,right,1.0,0,0,0.478585666998697,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
40,0.5,1.5,64.10173116700025,,64.09817620799731,64.10173116700025,64.59442941700036,64.59442941700036,64.59442941700036,64.8836275829999,65.08747274999769,right,1.5,1,1,0.48819041599927004,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
41,0.5,1.5,65.09393599999748,,65.0876349579994,65.09393599999748,65.58479929199893,65.58479929199893,65.58479929199893,65.87766658299734,66.08686033299819,left,-1.5,1,1,0.4984232080023503,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
42,0.5,1.5,66.09393483299937,,66.08702099999937,66.09393483299937,66.584406957998,66.584406957998,66.584406957998,66.87810383299802,67.14796449999994,right,1.5,1,1,0.5578081669991661,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
43,0.5,1.0,67.15171770799861,,67.14813008299825,67.15171770799861,67.64440029199977,67.64440029199977,67.64440029199977,67.9333482080001,68.29796249999708,left,-1.0,1,1,0.6448452080003335,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
44,0.5,1.0,68.3037039999981,,68.29812133299856,68.3037039999981,68.79445454199958,68.79445454199958,68.79445454199958,69.083641833,69.49826387499706,left,-1.0,1,1,0.6937067079998087,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
45,0.5,1.0,69.50443066699881,,69.4984449170006,69.50443066699881,69.99442462499792,69.99442462499792,69.99442462499792,70.28432312499717,70.61447395799769,right,1.0,0,0,0.6148335409998253,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
46,0.5,1.5,70.61820149999767,,70.61464416699891,70.61820149999767,71.11136629199973,71.11136629199973,71.11136629199973,71.40011408300052,71.85374641700037,right,1.5,1,1,0.7378984999995737,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
47,0.5,1.5,71.86076333299934,,71.8539063749995,71.86076333299934,72.35136633299771,72.35136633299771,72.35136633299771,72.64458733299762,72.9651727499986,right,1.5,1,1,0.6047969999999623,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
48,0.5,1.5,72.97108779200062,,72.9653516670005,72.97108779200062,73.46157720799965,73.46157720799965,73.46157720799965,73.74990954199893,74.23175820799952,left,-1.5,1,1,0.7616683340020245,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
49,0.5,1.0,74.23768445799942,,74.23192237499825,74.23768445799942,74.72795258299811,74.72795258299811,74.72795258299811,75.01752800000031,75.31999295800051,left,-1.0,1,1,0.5884339159965748,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
50,0.5,1.0,75.32755666699813,,75.32015333299933,75.32755666699813,75.81788345799941,75.81788345799941,75.81788345799941,76.11143420799999,79.55428279199987,right,1.0,0,0,3.7347640829975717,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
51,0.5,1.5,79.56137970800046,,79.55445829199743,79.56137970800046,80.05134824999914,80.05134824999914,80.05134824999914,80.34472766699764,81.49848591699993,left,-1.5,1,1,1.4442797919982695,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
52,0.5,1.5,81.50239845800024,,81.49867883299885,81.50239845800024,81.99471124999764,81.99471124999764,81.99471124999764,82.28454879199853,84.2815152919975,left,-1.5,1,1,2.28098508399853,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
53,0.5,1.5,84.2874033329972,,84.28168245800043,84.2874033329972,84.77814458300054,84.77814458300054,84.77814458300054,85.06743991699841,85.52185699999973,right,1.5,1,1,0.7424310409987811,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
54,0.5,1.0,85.52786637499958,,85.52202720800051,85.52786637499958,86.01814395799738,86.01814395799738,86.01814395799738,86.3118702920001,86.68766583300021,left,-1.0,1,1,0.6673929160024272,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
55,0.5,1.0,86.6948763750006,,86.68782962499972,86.6948763750006,87.18467216699719,87.18467216699719,87.18467216699719,87.47839479200047,87.78169329199955,right,1.0,1,1,0.5869971669999359,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
56,0.5,1.0,87.7876097499975,,87.78185929199753,87.7876097499975,88.27822079199905,88.27822079199905,88.27822079199905,88.56791191699813,88.80397174999962,right,1.0,1,1,0.521466333000717,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
57,0.5,1.0,88.81117862499741,,88.80413833299826,88.81117862499741,89.3014304999997,89.3014304999997,89.3014304999997,89.59516699999949,89.94828933299868,left,-1.0,1,1,0.6372403329987719,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
58,0.5,1.0,89.9541634169982,,89.94845091699972,89.9541634169982,90.44513787499818,90.44513787499818,90.44513787499818,90.73488874999748,91.13206633299706,right,1.0,1,1,0.685307791998639,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
59,0.5,1.0,91.13612587500029,,91.13222708299872,91.13612587500029,91.62839666699801,91.62839666699801,91.62839666699801,91.91797958299867,92.18199470800027,right,1.0,1,1,0.5492825000001176,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
60,0.5,1.0,92.18579320799836,,92.18215662500006,92.18579320799836,92.67835658299737,92.67835658299737,92.67835658299737,92.96804699999848,93.22117016699849,right,1.0,1,1,0.5391884170021513,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
61,0.5,1.0,93.22794212499866,,93.22132783299821,93.22794212499866,93.71888512499936,93.71888512499936,93.71888512499936,94.01765483299823,94.24898141700032,left,-1.0,0,0,0.5217964580006083,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
62,0.5,1.5,94.25488395799766,,94.24914729199736,94.25488395799766,94.74483720799981,94.74483720799981,94.74483720799981,95.03456258299775,95.14909008299946,left,-1.5,0,0,0.3968433339978219,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
63,0.5,2.0,95.15513308299705,,95.14925637499982,95.15513308299705,95.64512054199804,95.64512054199804,95.64512054199804,95.93451904199901,96.94845737499782,right,2.0,1,1,1.2986833750001097,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
64,0.5,2.0,96.95219562499915,,96.9486213329983,96.95219562499915,97.44534349999958,97.44534349999958,97.44534349999958,97.73489549999795,97.96575245799977,right,2.0,1,1,0.5103761669997766,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
65,0.5,2.0,97.97178283299945,,97.96591529199941,97.97178283299945,98.46177374999752,98.46177374999752,98.46177374999752,98.7511638750002,99.05476562499825,left,-2.0,1,1,0.5898855000014009,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
66,0.5,1.5,99.06141362500057,,99.05492670799867,99.06141362500057,99.55165774999841,99.55165774999841,99.55165774999841,99.84541933299988,100.1822747499973,left,-1.5,1,1,0.6260412500014354,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
67,0.5,1.5,100.18612395799937,,100.18244845799927,100.18612395799937,100.67857012499735,100.67857012499735,100.67857012499735,100.96837949999826,101.41562958299983,left,-1.5,1,1,0.730169250000472,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
68,0.5,1.5,101.42142170799707,,101.41579033299786,101.42142170799707,101.91190687500057,101.91190687500057,101.91190687500057,102.20165491700027,102.54871391699999,right,1.5,1,1,0.6338484160005464,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
69,0.5,1.0,102.55439904199739,,102.54887374999817,102.55439904199739,103.04522212499796,103.04522212499796,103.04522212499796,103.33509608299937,103.78199883299749,left,-1.0,1,1,0.732531707999442,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
70,0.5,1.0,103.7879613749974,,103.78215733300021,103.7879613749974,104.27868283299904,104.27868283299904,104.27868283299904,104.56824008299736,104.871465041997,left,-1.0,1,1,0.5919314159982605,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
71,0.5,1.0,104.87864691699724,,104.87162562499725,104.87864691699724,105.36882570799935,105.36882570799935,105.36882570799935,105.66220791699743,105.83780620799735,left,-1.0,1,1,0.46775295800034655,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
72,0.5,1.0,105.84534095799972,,105.83796829199855,105.84534095799972,106.33516658299777,106.33516658299777,106.33516658299777,106.62892320799801,106.98257104199729,right,1.0,0,0,0.6465321670002595,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
73,0.5,1.5,106.98637379199863,,106.98273691699796,106.98637379199863,107.47891962499853,107.47891962499853,107.47891962499853,107.76826012499805,107.88800566699865,left,-1.5,1,1,0.4056932499988761,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
74,0.5,1.5,107.89495841700045,,107.88816450000013,107.89495841700045,108.38515895799719,108.38515895799719,108.38515895799719,108.67891004199919,108.78248970799905,right,1.5,0,0,0.3925862500000221,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
75,0.5,2.0,108.78834524999911,,108.78265162499883,108.78834524999911,109.27891325000019,109.27891325000019,109.27891325000019,109.56830154199997,110.03262974999961,right,2.0,1,1,0.7497427079979389,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
76,0.5,2.0,110.03855874999863,,110.03279320799993,110.03855874999863,110.52874104199873,110.52874104199873,110.52874104199873,110.81814937499803,111.08265304199813,left,-2.0,0,0,0.5519017500009795,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
77,0.5,2.5,111.08655391699722,,111.08284087499851,111.08655391699722,111.57882266699744,111.57882266699744,111.57882266699744,111.86855591699714,112.53271358299753,right,2.5,1,1,0.9498502920032479,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
78,0.5,2.5,112.53858591699827,,112.53287499999715,112.53858591699827,113.02903170799982,113.02903170799982,113.02903170799982,113.31853237500036,113.73236254199946,left,-2.5,1,1,0.693739332997211,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
79,0.5,2.5,113.73827683299896,,113.73252291699828,113.73827683299896,114.22883424999964,114.22883424999964,114.22883424999964,114.51856749999934,114.88849395799843,right,2.5,0,0,0.655817125003523,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
80,0.5,3.0,114.89512691699929,,114.8886595829972,114.89512691699929,115.38613499999701,115.38613499999701,115.38613499999701,115.68464754199886,116.11568220799745,left,-3.0,1,1,0.7275033750011062,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
81,0.5,3.0,116.11945841699708,,116.11584704199777,116.11945841699708,116.61226695799996,116.61226695799996,116.61226695799996,116.90211366699805,117.06556724999973,left,-3.0,1,1,0.4523721250006929,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
82,0.5,3.0,117.0693619579979,,117.0657305829991,117.0693619579979,117.56261229200027,117.56261229200027,117.56261229200027,117.85207541699856,118.08281541699762,right,3.0,1,1,0.5190377500002796,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
83,0.5,2.5,118.08659308300048,,118.08297962500001,118.08659308300048,118.57894708299864,118.57894708299864,118.57894708299864,118.86864370799958,119.03257237499929,left,-2.5,1,1,0.4467840409997734,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
84,0.5,2.5,119.03838362500028,,119.03273570799865,119.03838362500028,119.52896825000062,119.52896825000062,119.52896825000062,119.81882874999792,120.038521167,left,-2.5,1,1,0.5086572500003967,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
85,0.5,2.5,120.04567033299827,,120.03868145799788,120.04567033299827,120.53612525000062,120.53612525000062,120.53612525000062,120.82939216699742,121.16609975000028,right,2.5,1,1,0.6266797499993118,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
86,0.5,2.0,121.17012124999746,,121.16627041699758,121.17012124999746,121.66236624999874,121.66236624999874,121.66236624999874,121.95192212499751,122.41618987499896,left,-2.0,1,1,0.7453747500003374,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
