delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000,exp,241,1,20,space,0.135762375080958,None,1000,1,[1.994270332972519],[1.9942746249726042],20,1,241,5,3863.285766749992,,3863.278238166007,3863.285766749992,3864.2785454159603,3864.2785454159603,3864.2785454159603,3864.4227746248944,space,0.135762375080958,None,3864.424423999968,3865.126785582576,3865.4335032909876,3865.416698457906,3865.4188225829275,3865.4335032909876,3865.4335032909876,3865.4335032909876,3867.428054124932,1000,1,[1.994270332972519],[1.9942746249726042],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.4,400,unexp,242,2,20,space,0.5141614569583908,None,400,1,[2.7207224579760805],[2.720726291066967],20,2,242,1,3867.4362974159885,,3867.428251999896,3867.4362974159885,3868.437943500001,3868.437943500001,3868.437943500001,3868.956124082906,space,0.5141614569583908,None,3868.9574662499363,3869.371063999661,3869.6734167909017,3869.6602285410045,3869.66231245792,3869.6734167909017,3869.6734167909017,3869.6734167909017,3872.394434790942,400,1,[2.7207224579760805],[2.720726291066967],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.7,1000,exp,243,3,20,space,0.7669197070645168,None,1000,1,[1.502447042032145],[1.5024520420702174],20,3,243,8,3872.4034681249177,,3872.3946515409043,3872.4034681249177,3873.386983582983,3873.386983582983,3873.395056874957,3874.1625472909072,space,0.7669197070645168,None,3874.163400415913,3874.871315541623,3875.175039707916,3875.1593239159556,3875.1610904999543,3875.175039707916,3875.175039707916,3875.175039707916,3876.6778047499247,1000,1,[1.502447042032145],[1.5024520420702174],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.7,400,unexp,244,4,20,space,0.7664590410422534,None,400,1,[2.0289844169747084],[2.0289884170051664],20,4,244,2,3876.685965499957,,3876.6780145829543,3876.685965499957,3877.6703424999723,3877.6703424999723,3877.6775393330026,3878.438207249972,space,0.7664590410422534,None,3878.439290124923,3879.1433424576576,3879.4484559159027,3879.432992957998,3879.434759415919,3879.4484559159027,3879.4484559159027,3879.4484559159027,3881.477732999949,400,1,[2.0289844169747084],[2.0289884170051664],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.1,400,unexp,245,5,20,space,0.5352578749880195,None,400,1,[2.388799540931359],[2.3888032499235123],20,5,245,0,3881.486778499908,,3881.47794004099,3881.486778499908,3882.4745963329915,3882.4745963329915,3882.4745963329915,3883.0117672909983,space,0.5352578749880195,None,3883.0130614999216,3883.1205314165604,3883.4219834579853,3883.4089097909164,3883.410732374992,3883.4219834579853,3883.4219834579853,3883.4219834579853,3885.8110810829094,400,1,[2.388799540931359],[2.3888032499235123],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.7,1000,exp,246,6,20,space,0.6109087499789894,None,890,1,[5.1854277909733355],[5.185432291007601],20,6,246,11,3885.8193687909516,,3885.811290874961,3885.8193687909516,3886.8038170409855,3886.8038170409855,3886.8105206249747,3887.4209522499004,space,0.6109087499789894,None,3887.421524000005,3888.1212935826666,3888.425298707909,3888.4099052909296,3888.411888332921,3888.425298707909,3888.425298707909,3888.425298707909,3893.611029499909,890,1,[5.1854277909733355],[5.185432291007601],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.4,1000,exp,247,7,20,space,0.9464584159431979,None,880,1,[2.668425958021544],[2.668431041063741],20,7,247,7,3893.6200549158966,,3893.6112405830063,3893.6200549158966,3894.6122280829586,3894.6122280829586,3894.6122280829586,3895.562037165975,space,0.9464584159431979,None,3895.5632907499094,3895.971575082575,3896.275851582992,3896.2604954999406,3896.2630227078917,3896.275851582992,3896.275851582992,3896.275851582992,3898.944580290932,880,1,[2.668425958021544],[2.668431041063741],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.4,1000,exp,248,8,20,space,1.2798601239919662,None,870,1,[7.746542791952379],[7.746546374983154],20,8,248,10,3898.952887124964,,3898.944759957958,3898.952887124964,3899.9370609159814,3899.9370609159814,3899.9440032909624,3901.2230726659764,space,1.2798601239919662,None,3901.224475707975,3901.6269985415897,3901.931456499966,3901.916081415955,3901.918109791004,3901.931456499966,3901.931456499966,3901.931456499966,3909.6782959579723,870,1,[7.746542791952379],[7.746546374983154],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.1,1000,exp,249,9,20,space,0.6441794580314308,None,860,1,[11.521095540956594],[11.521100249956362],20,9,249,9,3909.686814540997,,3909.6785136659164,3909.686814540997,3910.6765793329105,3910.6765793329105,3910.6765793329105,3911.3291832079412,space,0.6441794580314308,None,3911.330825290992,3911.4373744995723,3911.7402356249513,3911.725887040957,3911.7277047499083,3911.7402356249513,3911.7402356249513,3911.7402356249513,3923.2616448749322,860,1,[11.521095540956594],[11.521100249956362],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.1,1000,exp,250,10,20,space,0.4061378319747746,None,850,1,[2.77014183299616],[2.770145541988313],20,10,250,3,3923.27025904099,,3923.261855874909,3923.27025904099,3924.2540237909416,3924.2540237909416,3924.2621169999475,3924.663201499963,space,0.4061378319747746,None,3924.6644147909246,3924.771785874564,3925.075025707949,3925.060555707896,3925.062808415969,3925.075025707949,3925.075025707949,3925.075025707949,3927.8454502499662,850,1,[2.77014183299616],[2.770145541988313],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
