thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
23,0,23,up,1,0.9016061250003986,None,0,23,0,23,0,42.82840629099519,,42.818043125007534,42.82840629099519,43.815086165996036,43.82105962498463,44.72364662500331,up,1,0.9016061250003986,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
24,0,24,down,1,0.49780854099662974,None,-3,24,0,24,0,44.73363220799365,,44.724331000004895,44.73363220799365,45.723004790983396,45.731625165994046,46.223804540990386,down,1,0.49780854099662974,None,-3,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
25,0,25,down,1,0.9468748750223313,None,1,25,0,25,0,46.23445154100773,,46.22461999999359,46.23445154100773,47.222895040991716,47.23173441598192,48.173466999985976,down,1,0.9468748750223313,None,1,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
26,0,26,down,1,0.5403050000022631,None,2,26,0,26,0,48.198501874983776,,48.174082124984125,48.198501874983776,49.17256791598629,49.186894249985926,49.7177386659896,down,1,0.5403050000022631,None,2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
27,0,27,up,1,1.0665712079789955,None,0,27,0,27,0,49.72862087498652,,49.71836774999974,49.72862087498652,50.715306333004264,50.7208035409858,51.78455008298624,up,1,1.0665712079789955,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
28,0,28,down,1,0.917738707998069,None,-2,28,0,28,0,51.79444954099017,,51.785251499997685,51.79444954099017,52.7819545409875,52.78787558298791,53.70584241600591,down,1,0.917738707998069,None,-2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
29,0,29,down,1,0.771013873978518,None,3,29,0,29,0,53.71531554099056,,53.706397665984696,53.71531554099056,54.70583512500161,54.70583512500161,55.48474374998477,down,1,0.771013873978518,None,3,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
30,0,30,down,0,0.6399632070097141,None,0,30,0,30,0,55.49507991599967,,55.485348290996626,55.49507991599967,56.481896749988664,56.48770495801,57.13241391599877,down,0,0.6399632070097141,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
31,0,31,down,0,0.5640361660043709,None,0,31,0,31,0,57.14231283299159,,57.13294104099623,57.14231283299159,58.12471083298442,58.13195783298579,58.701077582984,down,0,0.5640361660043709,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
32,0,32,down,1,0.7738499160041101,None,2,32,0,32,0,58.71208537500934,,58.70175675000064,58.71208537500934,59.699032040982274,59.70526695798617,60.48409595800331,down,1,0.7738499160041101,None,2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
33,0,33,down,1,0.587770582002122,None,1,33,0,33,0,60.49438283298514,,60.484772291005356,60.49438283298514,61.482079540990526,61.4880142500042,62.07396695800708,down,1,0.587770582002122,None,1,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
34,0,34,down,1,0.6306459569896106,None,-4,34,0,34,0,62.08477162499912,,62.074703582999064,62.08477162499912,63.07319437499973,63.082000499998685,63.70759629100212,down,1,0.6306459569896106,None,-4,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
