prime_type,prime,target_full,target_fragment,SOA,correct_response,delay,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,mouse.started,prime_text.started,submit_text.started,textbox.started,polygon.stopped,fragment_text.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,trials.textbox.text,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
related ,hospital ,doctor,d__t_r,0.1,doctor ,0.6,77,77,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[3.3882140410132706],['submit_text'],doctor,0,77,77,0,928.7466570411343,,928.736845791107,928.7466570411343,0.004304290981963277,929.234772332944,929.234772332944,929.234772332944,929.2467365411576,929.3330469999928,932.1257037499454,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[3.3882140410132706],['submit_text'],doctor,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,hammer,fan,f_n,0.1,fan,0.6,78,78,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[2.4098515829537064],['submit_text'],fan,0,78,78,119,932.134960875148,,932.1295112080406,932.134960875148,0.003698833053931594,932.6294185831212,932.6294185831212,932.6294185831212,932.6423220001161,932.7192300830502,934.5399732079823,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[2.4098515829537064],['submit_text'],fan,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,radio,archer,a_c_e_,0.4,archer,0.9,79,79,0,[np.float64(-0.051111111111111114)],[np.float64(-0.41333333333333333)],[1],[0],[0],[7.838339374866337],['submit_text'],accent,0,79,79,114,934.5493926659692,,934.5431727911346,934.5493926659692,0.0031074578873813152,935.0471265001688,935.0471265001688,935.0471265001688,935.0602552499622,935.4382291249931,942.3821153331082,[np.float64(-0.051111111111111114)],[np.float64(-0.41333333333333333)],[1],[0],[0],[7.838339374866337],['submit_text'],accent,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,coffee,puppet,p_pp_t,0.4,puppet,0.9,80,80,0,[np.float64(-0.051111111111111114)],[np.float64(-0.41333333333333333)],[1],[0],[0],[3.404757749987766],['submit_text'],puppet,0,80,80,76,942.3936370001175,,942.3867631249595,942.3936370001175,0.004542249953374267,942.886305791093,942.886305791093,942.886305791093,942.9143138329964,943.2823424160015,945.7921799579635,[np.float64(-0.051111111111111114)],[np.float64(-0.41333333333333333)],[1],[0],[0],[3.404757749987766],['submit_text'],puppet,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,eye,economics,ec__o_i_s,0.1,economics,0.6,81,81,0,[np.float64(-0.051111111111111114)],[np.float64(-0.41333333333333333)],[1],[0],[0],[4.362455666065216],['submit_text'],econommics,0,81,81,95,945.8009360830765,,945.7955930409953,945.8009360830765,0.003309583058580756,946.2959302500822,946.2959302500822,946.2959302500822,946.3080348749645,946.3973999160808,950.1587173750158,[np.float64(-0.051111111111111114)],[np.float64(-0.41333333333333333)],[1],[0],[0],[4.362455666065216],['submit_text'],econommics,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,butter,bread ,b_e_d,0.4,bread,0.9,82,82,0,[np.float64(-0.051111111111111114)],[np.float64(-0.41333333333333333)],[1],[0],[0],[3.7525630830787122],['submit_text'],bread,0,82,82,21,950.1676976659801,,950.1623756249901,950.1676976659801,0.0035602080170065165,950.6629432910122,950.6629432910122,950.6629432910122,950.6757813331205,951.0734984581359,953.9155000410974,[np.float64(-0.051111111111111114)],[np.float64(-0.41333333333333333)],[1],[0],[0],[3.7525630830787122],['submit_text'],bread,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,suitcase,feet,f_e_,0.1,feet,0.6,83,83,0,[np.float64(-0.051111111111111114)],[np.float64(-0.41333333333333333)],[1],[0],[0],[6.929549041902646],['submit_text'],foes,0,83,83,109,953.9255340001546,,953.9191173331346,953.9255340001546,0.00352141703478992,954.418682333082,954.418682333082,954.418682333082,954.4304948749486,954.5164646250196,960.8493153329473,[np.float64(-0.051111111111111114)],[np.float64(-0.41333333333333333)],[1],[0],[0],[6.929549041902646],['submit_text'],foes,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,curtain,wizard,w__a_d,0.4,wizard,0.9,84,84,0,[np.float64(-0.03666666666666667)],[np.float64(-0.38222222222222224)],[1],[0],[0],[27.001791666960344],['submit_text'],wander,0,84,84,96,960.8609548751265,,960.8539733330254,960.8609548751265,0.004545750096440315,961.3648423750419,961.3648423750419,961.3648423750419,961.3648423750419,961.7497367081232,987.8563615831081,[np.float64(-0.03666666666666667)],[np.float64(-0.38222222222222224)],[1],[0],[0],[27.001791666960344],['submit_text'],wander,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,pot,headphone,h_a_p_o_e,0.4,headphone,0.9,85,85,0,[np.float64(-0.03666666666666667)],[np.float64(-0.38222222222222224)],[1],[0],[0],[78.91831404087134],['submit_text'],haappy,0,85,85,108,987.8643162499648,,987.8592092080507,987.8643162499648,0.0027604170609265566,988.3528880409431,988.3528880409431,988.3528880409431,988.3814857499674,988.7482816250995,1066.778205708135,[np.float64(-0.03666666666666667)],[np.float64(-0.38222222222222224)],[1],[0],[0],[78.91831404087134],['submit_text'],haappy,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,floor,tile,t_l_,0.4,tile,0.9,86,86,0,[np.float64(-0.03666666666666667)],[np.float64(-0.38222222222222224)],[0],[0],[0],[3.8879917501471937],['submit_text'],tiles,0,86,86,29,1066.787281790981,,1066.7817303331103,1066.787281790981,0.00342179206199944,1067.2813502079807,1067.2813502079807,1067.2813502079807,1067.293141500093,1067.6931612910703,1070.6703941661399,[np.float64(-0.03666666666666667)],[np.float64(-0.38222222222222224)],[0],[0],[0],[3.8879917501471937],['submit_text'],tiles,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
