thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_dist,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,0,49,[np.float64(-0.23333333333333334)],[np.float64(-0.2722222222222222)],[1],[0],[0],[1.4287804170162417],['target'],49,0,49,0,109.60704816700309,,10,109.59554337500595,109.60704816700309,109.60704816700309,0.020877292001387104,111.0243801669858,[np.float64(-0.23333333333333334)],[np.float64(-0.2722222222222222)],[1],[0],[0],[1.4287804170162417],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
50,0,50,[np.float64(-0.043333333333333335)],[np.float64(-0.22)],[1],[0],[0],[1.3461922079732176],[None],50,0,50,0,111.05571112499456,,10,111.04432600000291,111.05571112499456,111.05571112499456,0.019786832999670878,112.39058433298487,[np.float64(-0.043333333333333335)],[np.float64(-0.22)],[1],[0],[0],[1.3461922079732176],[None],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
51,0,51,[np.float64(-0.3711111111111111)],[np.float64(0.14555555555555555)],[1],[0],[0],[1.8386655000213068],['target'],51,0,51,0,112.41267966700252,,5,112.40241612499813,112.41267966700252,112.41267966700252,0.011684541997965425,114.24115820799489,[np.float64(-0.3711111111111111)],[np.float64(0.14555555555555555)],[1],[0],[0],[1.8386655000213068],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
52,0,52,[np.float64(0.37)],[np.float64(-0.4588888888888889)],[1],[0],[0],[2.4440268329926766],[None],52,0,52,0,114.26841795799555,,5,114.25646308300202,114.26841795799555,114.26841795799555,0.015137416979996487,116.7005955829809,[np.float64(0.37)],[np.float64(-0.4588888888888889)],[1],[0],[0],[2.4440268329926766],[None],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
53,0,53,[np.float64(-0.24)],[np.float64(-0.48)],[1],[0],[0],[2.7769055829849094],['target'],53,0,53,0,116.74633841699688,,10,116.73177874999237,116.74633841699688,116.74633841699688,0.030916749994503334,119.50874170800671,[np.float64(-0.24)],[np.float64(-0.48)],[1],[0],[0],[2.7769055829849094],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
54,0,54,[np.float64(0.12222222222222222)],[np.float64(0.05)],[0],[0],[0],[2.255371750012273],['target'],54,0,54,0,119.54134324999177,,10,119.52951674998621,119.54134324999177,119.54134324999177,0.02059283302514814,121.7849693330063,[np.float64(0.12222222222222222)],[np.float64(0.05)],[0],[0],[0],[2.255371750012273],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
55,0,55,[np.float64(-0.23333333333333334)],[np.float64(-0.4866666666666667)],[1],[0],[0],[3.2355828330037184],['target'],55,0,55,0,121.93039958298323,,5,121.92291987498174,121.93039958298323,121.93039958298323,0.1377305409987457,125.15857708299882,[np.float64(-0.23333333333333334)],[np.float64(-0.4866666666666667)],[1],[0],[0],[3.2355828330037184],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
56,0,56,[np.float64(0.1322222222222222)],[np.float64(0.2511111111111111)],[1],[0],[0],[2.376173500000732],['target'],56,0,56,0,125.19762479199562,,10,125.18406058300752,125.19762479199562,125.19762479199562,0.025310665980214253,127.56030199999805,[np.float64(0.1322222222222222)],[np.float64(0.2511111111111111)],[1],[0],[0],[2.376173500000732],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
57,0,57,[np.float64(0.17222222222222222)],[np.float64(-0.06555555555555556)],[1],[0],[0],[1.4830718330049422],['target'],57,0,57,0,127.58685349998996,,5,127.57539250000264,127.58685349998996,127.58685349998996,0.014886417018715292,129.05853579199174,[np.float64(0.17222222222222222)],[np.float64(-0.06555555555555556)],[1],[0],[0],[1.4830718330049422],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
58,0,58,[np.float64(0.04777777777777778)],[np.float64(-0.3788888888888889)],[1],[0],[0],[4.2264226250117645],['target'],58,0,58,0,129.09951512498083,,10,129.0853227500047,129.09951512498083,129.09951512498083,0.02661533298669383,133.3118301249924,[np.float64(0.04777777777777778)],[np.float64(-0.3788888888888889)],[1],[0],[0],[4.2264226250117645],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
